Index,Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Trial
160,-17.0,5081.736837161438,7492.330157407623,73030.36699536818,-2.960287338904237,0.5721258491104178,-2.2846964142861195,2.0
161,-16.0,4768.714809716461,7471.7910326475,72837.57160412292,-0.41665024758169206,-3.1298428985710998,0.2836913319270489,2.0
162,-15.0,4448.683688268688,7443.820916748853,72587.12549149425,-2.886120657388622,0.6740453511863765,-2.1735305481540874,2.0
163,-14.0,4178.647835460541,7430.518342936469,72424.28480371313,0.9048078945497681,-1.7691617550053436,1.6467902090802462,2.0
164,-13.0,3985.2630105563135,7442.125472057869,72341.30270523831,2.1313169475942386,-0.4609006874016052,2.9597754271170778,2.0
165,-12.0,3825.9559946061117,7457.797468264733,72295.02914703233,-0.38870104007260325,-2.9147783221114847,0.49874547946522596,2.0
166,-11.0,3622.704085924059,7455.620777549874,72230.54020528999,0.9222471292170731,-1.5881028955463095,1.809933490103136,2.0
167,-10.0,3360.1141613721375,7450.156653071703,72119.98101077208,-1.6996146888752266,2.2092535266939985,-0.6491673001280777,2.0
168,-9.0,3109.835787591076,7452.077240514039,71997.39310485608,-0.4800500828035211,-2.76795471693934,0.6586123977144689,2.0
169,-8.0,2935.6923962306946,7442.055395940321,71915.92157594535,-3.036538550651465,1.0695365574415319,-1.8003975361178475,2.0
170,-7.0,2824.995676998168,7417.435229551902,71881.66580047566,1.9218354225186818,-0.13322499859818857,-3.0022306403937407,2.0
171,-6.0,2747.421924717437,7398.166395964839,71867.93868985836,-1.9765600429931884,2.429469403953466,-0.4353355859188011,2.0
172,-5.0,2710.3249230456504,7391.904015629183,71885.94053816226,1.6946050935376187,-0.023923959989904063,-2.896711956755665,2.0
173,-4.0,2727.3089554103276,7397.834930497384,71976.80637154741,-2.1464960816536824,2.526820106065613,-0.32825722238935323,2.0
174,-3.0,2798.533516122018,7415.2469718405355,72121.56982488252,1.4909796380889497,0.07304743939535897,-2.7879052124053194,2.0
175,-2.0,2924.1022096901875,7426.473256270752,72142.45194385419,2.7336023314093865,1.3802292294540177,-1.47705510964844,2.0
176,-1.0,3100.311882376868,7390.378386616096,71662.04089996446,0.03256069537484193,-1.0712875870274896,2.3473106528663323,2.0
177,0.0,3332.5513955203414,7285.38496736872,70519.42065109959,-1.1594982537856078,-2.2870519254677584,1.1460326405976042,2.0
178,1.0,3661.9993420211654,7173.303799991056,69490.48609233327,3.1281272687333743,2.1951520779406586,-0.6854867908369064,2.0
179,2.0,4106.945988706638,7152.403695243862,69665.00352841018,-0.6678637718516479,-1.550156184917336,1.8816471040067928,2.0
180,3.0,4577.602533003542,7214.182336607326,70724.27660012878,-1.3341356013765016,-2.1158273891449157,1.309351266336902,2.0
181,4.0,4975.210533537362,7260.073407910361,71428.42244855038,-0.05583029244017486,-0.8119924514357425,2.6186254145930903,2.0
182,5.0,5346.557934464192,7271.483530414734,71749.74781676994,-1.9394523971783644,-2.6437506202883267,0.7891076712988737,2.0
183,6.0,5782.184745595594,7305.35942041507,72470.08593263465,-0.0330265983766117,-0.69722330565553,2.7276616421899376,2.0
